file|matched_term|current_wording|page_section_or_context|proposed_neutral_wording|risk_classification
app/(content)/conflict-of-interest/page.tsx|best|"disclose it and take steps to manage it in your best interest. You may request a copy of our full conflict"|line 46|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
app/(content)/terms/page.tsx|suitable for|"error-free or suitable for your circumstances. We may change or withdraw content or services without"|line 46|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/calculators/CalculatorsHubView.tsx|best|"lead=\"Choose the calculator that best matches your current situation. This is the natural starting point before you browse the full Toolkit.\""|line 192|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/client-studio/BlogStudioClient.tsx|best|"\"The best financial plan is one you can understand, review, and adjust before pressure forces a decision.\""|line 116|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/client-studio/BlogStudioClient.tsx|best|"\"The best financial plan is one you can understand, review, and adjust before pressure forces a decision.\""|line 135|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/contact/ContactPageView.tsx|best|"Who we help best"|line 227|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/crm/LeadAiPanel.tsx|best|"Next best action"|line 78|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/everest/EverestWealthAboutPageView.tsx|maximum cash flow|"desc: \"Higher monthly income from day one; no end-of-term bonus. Suited to those who need maximum cash flow now (e.g. retirees) and are willing to forgo the loyalty bonus.\","|line 41|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/everest/EverestWealthAboutPageView.tsx|best|"desc: \"No monthly withdrawals; returns compound and are paid at maturity (year 5). Best for capital you do not need as income during the term.\","|line 47|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/everest/EverestWealthAboutPageView.tsx|suitable for|"not suitable for emergency funds or short-term horizons. The tax benefit of dividends is"|line 442|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/everest-wealth/EverestWealthPageView.tsx|best|"Best when:{\" \"}"|line 351|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
components/quiz/QuizPageClient.tsx|ideal|"\"Targeted income option for capital from R100,000. Ideal when your main concern is low investment yields.\","|line 296|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/hub-catalog.ts|best|"\"Which income strategy best fits your voluntary capital objectives?\","|line 89|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|perfect|"\"The question isn't whether your current plan is perfect. Book a Retirement Gap Assessment for a personalised review of contributions, time and strategy.\","|line 910|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|perfect|"\"Long-term retirement success is rarely achieved by finding the perfect investment. It is usually driven by saving consistently, increasing contributions over time, staying invested, reviewing progress regularly, and giving compound growth "|line 927|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|perfect|"\"A retirement plan you can maintain is usually more successful than a perfect plan you cannot sustain. Revisit this calculator when your income or goals change, and compare outcomes with the Retirement Reality Check and Retirement Growth Ra"|line 928|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|best|"\"Working longer can help because you contribute for more years and delay drawdown. Whether it is the best lever depends on your health, career and income needs. Explore scenarios here, then discuss them in a Retirement Gap Assessment.\","|line 951|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
lib/calculators/page-configs.ts|suitable for|"intro: \"Suitable for anyone who wants a clear, educational estimate of South African income tax before connecting the numbers to retirement planning.\","|line 1622|PENDING_APPROVAL_DO_NOT_AUTO_REPLACE|medium-high
